dia,total_accesos
2025-10-20,6
2025-10-21,5
2025-10-22,4
2025-10-23,4
2025-10-24,2
2025-10-25,4
2025-10-26,3
2025-10-27,5
2025-10-28,1
2025-10-29,1
2025-10-30,2
2025-10-31,4
2025-11-01,3
